,SegID
2190,70637
2191,70638
2192,37869
2193,168942
2194,136177
2195,70636
2196,70639
2197,168948
2198,70644
2199,168953
2200,136185
2201,70651
2202,70649
2203,136191
2204,37888
2205,168965
2206,70665
2207,168970
2208,37899
2209,70668
2210,70669
2211,70670
2212,37898
2213,37904
2214,37905
2215,37900
2216,136202
2217,5135
2218,70677
2219,37910
2220,70682
2221,37916
2222,168993
2223,168999
2224,5164
2225,267309
2226,70704
2227,103473
2228,103488
2229,103489
2230,37953
2231,37960
2232,103498
2233,37962
2234,37966
2235,70734
2236,136284
2237,37998
2238,38002
2239,234611
2240,103541
2241,103545
2242,169087
2243,38018
2244,38026
2245,38035
2246,169114
2247,169116
2248,5276
2249,5278
2250,169119
2251,169123
2252,5286
2253,38055
2254,103600
2255,70837
2256,38080
2257,70850
2258,169154
2259,169159
2260,103624
2261,70857
2262,169164
2263,169166
2264,70866
2265,169171
2266,70867
2267,136403
2268,169174
2269,70871
2270,70876
2271,70879
2272,136417
2273,70888
2274,70892
2275,70894
2276,38127
2277,70896
2278,38129
2279,70904
2280,136443
2281,70909
2282,38143
2283,38144
2284,38145
2285,70914
2286,70915
2287,70921
2288,70923
2289,70926
2290,136466
2291,70931
2292,70935
2293,38168
2294,70937
2295,70938
2296,70939
2297,70942
2298,136481
2299,136482
2300,70947
2301,70953
2302,136491
2303,136493
2304,136494
2305,70957
2306,136496
2307,136497
2308,136500
2309,70968
2310,70969
2311,38203
2312,70973
2313,169278
2314,70975
2315,70974
2316,136512
2317,136511
2318,70978
2319,70977
2320,70981
2321,136521
2322,136522
2323,70987
2324,5453
2325,5454
2326,136535
2327,136539
2328,38235
2329,38237
2330,136540
2331,38243
2332,136552
2333,169324
2334,136556
2335,71025
2336,5491
2337,169335
2338,71036
2339,38269
2340,103815
2341,136584
2342,169357
2343,5524
2344,5525
2345,136599
2346,169370
2347,5534
2348,71072
2349,136612
2350,38311
2351,71082
2352,71084
2353,38318
2354,71088
2355,136625
2356,38322
2357,136626
2358,71091
2359,103857
2360,136635
2361,38332
2362,38333
2363,38334
2364,5570
2365,38338
2366,38341
2367,38343
2368,234951
2369,71115
2370,5580
2371,71118
2372,38350
2373,71120
2374,71121
2375,5586
2376,71122
2377,71124
2378,38356
2379,71126
2380,136662
2381,136663
2382,38355
2383,169434
2384,38361
2385,71132
2386,5597
2387,71134
2388,38367
2389,38362
2390,38369
2391,136674
2392,169443
2393,38371
2394,71133
2395,71135
2396,136682
2397,136684
2398,136703
2399,136704
2400,136707
2401,136708
2402,71173
2403,136710
2404,5649
2405,5652
2406,103962
2407,136735
2408,71202
2409,169518
2410,169522
2411,169523
2412,38456
2413,235068
2414,136771
2415,38470
2416,38472
2417,71245
2418,38484
2419,235092
2420,38487
2421,38489
2422,38491
2423,38492
2424,5729
2425,38498
2426,38499
2427,71268
2428,38500
2429,5735
2430,169577
2431,38506
2432,136811
2433,38507
2434,38505
2435,136814
2436,136815
2437,38512
2438,38508
2439,136817
2440,5748
2441,5749
2442,136821
2443,136824
2444,5753
2445,136828
2446,9016956
2447,71297
2448,136836
2449,71346
2450,9017010
2451,71348
2452,9017013
2453,9017014
2454,71352
2455,71353
2456,9017019
2457,9017020
2458,71359
2459,9017023
2460,9017024
2461,71367
2462,71368
2463,71369
2464,71371
2465,169676
2466,9017037
2467,9017035
2468,9017039
2469,104144
2470,5839
2471,9017038
2472,9017040
2473,5844
2474,38613
2475,9017050
2476,71387
2477,38619
2478,71393
2479,9017058
2480,9017062
2481,38630
2482,38634
2483,38636
